adm0_name,adm0_code,adm0_pcod3,adm0_pcod2,adm1_name,adm1_code,adm1_pcod3,adm1_pcod2,adm2_name,adm2_code,adm2_pcod3,adm2_pcod2
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Mubi North,191101,NGA002014,NG0214
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Mubi South,191106,NGA002015,NG0215
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Maiha,22611,NGA002011,NG0211
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Gombi,191126,NGA002005,NG0205
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Hong,22608,NGA002007,NG0207
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Song,191111,NGA002018,NG0218
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Gireri,22606,NGA002004,NG0204
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Yola North,191139,NGA002020,NG0220
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Yola South,191141,NGA002021,NG0221
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Fufore,22604,NGA002002,NG0202
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Guyuk,22607,NGA002006,NG0206
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Shelleng,22616,NGA002017,NG0217
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Ganaye,191163,NGA002003,NG0203
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Demsa,191123,NGA002001,NG0201
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Lamurde,191121,NGA002009,NG0209
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Mayo-Belwa,22612,NGA002012,NG0212
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Toungo,191174,NGA002019,NG0219
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Numan,191125,NGA002016,NG0216
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,Jada,22609,NGA002008,NG0208
Mali,155,MLI,ML,Bamako,1926,MLI009,ML09,Commune IV,NA,MLI00900104,ML090104
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Bama,22700,NGA008003,NG0803
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Maiduguri,191040,NGA008021,NG0821
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Jere,191026,NGA0080013,NG0813
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Mafa,191014,NGA008019,NG0819
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Kala/Balge,191010,NGA008015,NG0815
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Dikwa,22703,NGA008008,NG0808
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Konduga,191024,NGA008016,NG0816
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Ngala,191006,NGA008025,NG0825
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Askira/Uba,22699,NGA008002,NG0802
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Biu,191089,NGA008005,NG0805
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Damboa,191073,NGA008007,NG0807
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Chibok,191091,NGA008006,NG0806
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Gwoza,22704,NGA008011,NG0811
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Bayo,191093,NGA008004,NG0804
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Shani,191102,NGA008027,NG0827
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Hawul,191097,NGA008012,NG0812
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Kwaya Kusar,191099,NGA008018,NG0818
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Abadam,190950,NGA008001,NG0801
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Gubio,190969,NGA008009,NG0809
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Guzamala,190958,NGA008010,NG0810
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Kaga,191041,NGA008014,NG0814
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Kukawa,190954,NGA008017,NG0817
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Magumeri,190998,NGA008020,NG0820
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Monguno,190987,NGA008024,NG0824
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Nganzai,190976,NGA008026,NG0826
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Marte,191406,NGA008022,NG0822
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,Mobbar,191407,NGA008023,NG0823
Mali,155,MLI,ML,Bamako,1926,MLI009,ML09,Commune V,NA,MLI00900105,ML090105
Mali,155,MLI,ML,Bamako,1926,MLI009,ML09,Commune VI,NA,MLI00900106,ML090106
Niger,181,NER,NE,Diffa,2203,NER002,NE02,Dffa Dep,NA,NA,NA
Nigeria,182,NGA,NG,Yobe,2240,NGA036,NG36,Bursari,190973,NGA036002,NG3602
