adm0_name,adm1_name,adm1_namechanged,adm1_code,adm1_pcod3,adm2_name,adm2_namechanged,adm2_code,adm2_pcod3,adm0_code,adm0_pcod3
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Ukanafun,Ukanafun,22638,NGA003028,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Uruan,Uruan,22640,NGA003029,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,Mbo,Mbo,22641,NGA003017,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,Aguata,Aguata,22643,NGA004001,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,Anambra West,Anambra West,22644,NGA004003,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,Anaocha,Anaocha,22645,NGA004004,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,Awka North,Awka North,22646,NGA004005,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,Awka South,Awka South,22647,NGA004006,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,Ihiala,Ihiala,22649,NGA004012,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,Nnewi South,Nnewi South,22652,NGA004015,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,Ogbaru,Ogbaru,22653,NGA004016,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,Orumba North,Orumba North,22655,NGA004019,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,Orumba South,Orumba South,22656,NGA004020,182,NGA
Nigeria,Gombe,Gombe,65704,NGA016,Akko,Akko,22658,NGA016001,182,NGA
Nigeria,Gombe,Gombe,65704,NGA016,Balanga,Balanga,22660,NGA016002,182,NGA
Nigeria,Bauchi,Bauchi,65699,NGA005,Bauchi,Bauchi,22661,NGA005002,182,NGA
Nigeria,Gombe,Gombe,65704,NGA016,Billiri,Billiri,22662,NGA016003,182,NGA
Nigeria,Bauchi,Bauchi,65699,NGA005,Darazo,Darazo,22663,NGA005005,182,NGA
Nigeria,Bauchi,Bauchi,65699,NGA005,Dass,Dass,22664,NGA005006,182,NGA
Nigeria,Gombe,Gombe,65704,NGA016,Dukku,Dukku,22665,NGA016004,182,NGA
Nigeria,Bauchi,Bauchi,65699,NGA005,Gamawa,Gamawa,22666,NGA005007,182,NGA
Nigeria,Bauchi,Bauchi,65699,NGA005,Ganjuwa,Ganjuwa,22667,NGA005008,182,NGA
Nigeria,Bauchi,Bauchi,65699,NGA005,Itas/Gadau,Itas/Gadau,22669,NGA005010,182,NGA
Nigeria,Bauchi,Bauchi,65699,NGA005,Jama'are,Jama'are,22670,NGA005011,182,NGA
Nigeria,Bauchi,Bauchi,65699,NGA005,Toro,Toro,22678,NGA005018,182,NGA
Nigeria,Gombe,Gombe,65704,NGA016,Yamaltu/Deba,Yamaltu/Deba,22679,NGA016011,182,NGA
Nigeria,Bauchi,Bauchi,65699,NGA005,Zaki,Zaki,22680,NGA005020,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Ado,Ado,22681,NGA007001,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Buruku,Buruku,22683,NGA007004,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Guma,Guma,22685,NGA007006,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Gwer East,Gwer East,22686,NGA007007,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Gwer West,Gwer West,22687,NGA007008,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Konshisha,Konshisha,22689,NGA007010,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Kwande,Kwande,22690,NGA007011,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Makurdi,Makurdi,22691,NGA007013,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Ogbadibo,Ogbadibo,22692,NGA007015,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Okpokwu,Okpokwu,22694,NGA007018,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Ukum,Ukum,22696,NGA007021,182,NGA
Nigeria,Benue,Benue,2215,NGA007,Ushongo,Ushongo,22697,NGA007022,182,NGA
