country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35,status
Nigeria,Kano,FAGGE ,317955.187,1,257543.7015,44513.72619,15897.75935,0,0,15897.75935,outofcamp
Nigeria,Kano,SUMAILA ,397857,1,330221.31,51721.41,15914.28,0,0,15914.28,outofcamp
Nigeria,Borno,Gwoza,47175,3,14152.5,16511.25,16511.25,0,0,16511.25,incamp
Nigeria,Kaduna,Jema'a ,417928,1,338521.68,62689.2,16717.12,0,0,16717.12,outofcamp
Nigeria,Borno,Bayo,167823,2,92302.65,58738.05,16782.3,0,0,16782.3,outofcamp
Nigeria,Kano,KIRU ,424535,1,352364.05,55189.55,16981.4,0,0,16981.4,outofcamp
Nigeria,Yobe,Machina,106349,2,61682.42,27650.74,14888.86,2126.98,0,17015.84,outofcamp
Nigeria,Kano,MINJIBIR ,348966.5238,1,282662.8843,48855.31333,17448.32619,0,0,17448.32619,outofcamp
Nigeria,Kano,TARAUNI ,352514.808,1,285536.9945,49352.07312,17625.7404,0,0,17625.7404,outofcamp
Nigeria,Kano,BICHI ,442238,1,367057.54,57490.94,17689.52,0,0,17689.52,outofcamp
Nigeria,Zamfara,Zurmi,444248,1,355398.4,71079.68,17769.92,0,0,17769.92,outofcamp
Nigeria,Kano,D/KUDU ,358290.8999,1,290215.6289,50160.72599,17914.545,0,0,17914.545,outofcamp
Nigeria,Adamawa,Yola South,304992,1,247043.52,39648.96,18299.52,0,0,18299.52,outofcamp
Nigeria,Kaduna,Zangon Kataf,479203,1,388154.43,71880.45,19168.12,0,0,19168.12,outofcamp
Nigeria,Kaduna,Birnin Gwari,388451,2,291338.25,77690.2,19422.55,0,0,19422.55,outofcamp
Nigeria,Zamfara,Bubgudu,389942,1,272959.4,97485.5,19497.1,0,0,19497.1,outofcamp
Nigeria,Zamfara,Tsafe,402174,1,281521.8,100543.5,20108.7,0,0,20108.7,outofcamp
Nigeria,Adamawa,Jada,261852,1,212100.12,28803.72,20948.16,0,0,20948.16,outofcamp
Nigeria,Zamfara,Maru,441320,1,308924,110330,22066,0,0,22066,outofcamp
Nigeria,Borno,Chibok,131734,2,51376.26,57962.96,22394.78,0,0,22394.78,outofcamp
Nigeria,Kano,GEZAWA ,448625.1633,1,363386.3823,62807.52286,22431.25816,0,0,22431.25816,outofcamp
Nigeria,Plateau,Jos South,448699,1,367933.18,58330.87,22434.95,0,0,22434.95,outofcamp
Nigeria,Kano,KUMBOTSO ,467793.5254,1,378912.7556,65491.09356,23389.67627,0,0,23389.67627,outofcamp
Nigeria,Borno,Hawul,252553,2,151531.8,75765.9,25255.3,0,0,25255.3,outofcamp
Nigeria,Adamawa,Gombi,229738,2,105679.48,98787.34,25271.18,0,0,25271.18,outofcamp
Nigeria,Borno,Dikwa,56841,3,5684.1,25578.45,17052.3,8526.15,0,25578.45,outofcamp
Nigeria,Yobe,Damaturu,137650,2,56436.5,55060,20647.5,5506,0,26153.5,outofcamp
Nigeria,Yobe,Bursari,170665,2,75092.6,68266,22186.45,5119.95,0,27306.4,outofcamp
Nigeria,Kaduna,Kaduna South,547681,2,410760.75,109536.2,27384.05,0,0,27384.05,outofcamp
Nigeria,Kaduna,Chikun,559243,2,419432.25,111848.6,27962.15,0,0,27962.15,outofcamp
Nigeria,Kano,GWALE ,568594.6711,1,460561.6836,79603.25395,28429.73355,0,0,28429.73355,outofcamp
Nigeria,Kano,UNGOGO ,578527.6423,1,468607.3903,80993.86992,28926.38212,0,0,28926.38212,outofcamp
